blend	source1	source2	pre_sim	suf_sim	jw_sum	wordvec_similarity
kendrick	ken	rick	1.0	1.0	2.0	0.6779727935791016
kenisha	kendo	geisha	0.89	0.92	1.81	0.6705527305603027
kenna	ken	anna	0.9	0.94	1.8399999999999999	0.7634155750274658
kentwood	kennel	redwood	0.87	0.9	1.77	0.6306208372116089
kepala	kea	ala	0.9	1.0	1.9	0.6514610648155212
kepastian	kepi	gentian	0.93	0.9	1.83	0.6847258806228638
keren	ken	ren	0.9	1.0	1.9	0.8036816716194153
kermit	key	limit	0.9	0.9	1.8	0.6449215412139893
kertas	kex	fetas	0.9	0.9	1.8	0.6872085332870483
kesha	kea	sha	0.9	1.0	1.9	0.7038587331771851
kesian	ken	ian	0.9	1.0	1.9	0.7104295492172241
ketawa	kea	awa	0.9	1.0	1.9	0.7973843812942505
ketiduran	ketty	buran	0.89	0.95	1.8399999999999999	0.6362434029579163
kev	key	dev	0.9	0.91	1.81	0.6577529907226562
keychains	keys	chains	0.93	0.92	1.85	0.8346072435379028
keyon	ker	yon	0.9	1.0	1.9	0.7101857662200928
khadijah	khalif	elijah	0.87	0.92	1.79	0.65528404712677
khalid	kha	olid	0.9	0.94	1.8399999999999999	0.7072518467903137
khalizzle	khadi	frazzle	0.89	0.9	1.79	0.7495564222335815
kia	kif	hia	0.9	0.91	1.81	0.6738262176513672
kiana	kin	ana	0.9	1.0	1.9	0.6377512216567993
kicced	kid	faced	0.9	0.9	1.8	0.6788047552108765
kickboxing	kicked	flexing	0.87	0.9	1.77	0.6652873158454895
kickin	kil	kin	0.9	1.0	1.9	0.6450825929641724
kidden	kim	eden	0.9	0.94	1.8399999999999999	0.7388385534286499
kiddin	kin	din	0.9	1.0	1.9	0.7196905016899109
kidnappin	kidder	pippin	0.87	0.92	1.79	0.6498701572418213
kidrobot	kid	robot	1.0	0.95	1.95	0.6702998876571655
kiere	kil	ere	0.9	1.0	1.9	0.6519419550895691
kiero	kit	aero	0.9	0.94	1.8399999999999999	0.6986708045005798
kiethy	kin	thy	0.9	1.0	1.9	0.7163339257240295
killa	kil	walla	0.9	0.9	1.8	0.6469393968582153
killakouture	kill	future	0.93	0.96	1.8900000000000001	0.759288489818573
killertruths	kilah	ruths	0.89	1.0	1.8900000000000001	0.6378687024116516
killyoself	kill	self	0.93	1.0	1.9300000000000002	0.8007695078849792
kilpatrick	kill	rick	0.93	1.0	1.9300000000000002	0.7102056741714478
kimballs	kimbo	galls	0.89	0.95	1.8399999999999999	0.6666973233222961
kimia	kif	lamia	0.9	0.9	1.8	0.7117091417312622
kimmel	kid	camel	0.9	0.9	1.8	0.6674091815948486
kimmy	kid	sammy	0.9	0.9	1.8	0.643902599811554
kimora	kie	ora	0.9	1.0	1.9	0.6622753143310547
kincaids	kinks	maids	0.89	0.95	1.8399999999999999	0.6874639987945557
kinda	kid	panda	0.9	0.9	1.8	0.6757673621177673
kingsborough	kind	rough	0.93	1.0	1.9300000000000002	0.7551694512367249
kinna	kid	anna	0.9	0.94	1.8399999999999999	0.6611100435256958
kipnap	kid	nap	0.9	1.0	1.9	0.6434233784675598
kirkin	kil	kin	0.9	1.0	1.9	0.6450825929641724
kisha	kil	sha	0.9	1.0	1.9	0.7731378078460693
kissem	kie	asem	0.9	0.94	1.8399999999999999	0.7125338315963745
kissin	kit	resin	0.9	0.9	1.8	0.6526943445205688
kitaron	kitsch	baron	0.87	0.95	1.8199999999999998	0.7190614342689514
kizer	kif	zer	0.9	1.0	1.9	0.633499264717102
klass	kln	khass	0.9	0.9	1.8	0.6615668535232544
klaws	kln	caws	0.9	0.94	1.8399999999999999	0.669545590877533
klien	kln	gien	0.9	0.94	1.8399999999999999	0.647166907787323
klo	kln	blo	0.9	0.91	1.81	0.6403613090515137
knockin	knots	pickin	0.89	0.92	1.81	0.6309292316436768
knownie	knobby	townie	0.87	0.92	1.79	0.7005569934844971
kobes	koi	bes	0.9	1.0	1.9	0.6413288116455078
kod	kop	bod	0.9	0.91	1.81	0.6977783441543579
koebe	koa	glebe	0.9	0.9	1.8	0.6945819854736328
kok	kos	sok	0.9	0.91	1.81	0.7096608877182007
komen	kop	samen	0.9	0.9	1.8	0.7372685670852661
komin	koa	lamin	0.9	0.9	1.8	0.7216651439666748
koo	kon	hoo	0.9	0.91	1.81	0.6338452100753784
kooked	kor	ked	0.9	1.0	1.9	0.6384295225143433
kookin	koi	kin	0.9	1.0	1.9	0.6540542840957642
koppin	kop	spin	0.9	0.94	1.8399999999999999	0.6316274404525757
korner	koa	abner	0.9	0.9	1.8	0.6309559345245361
kould	kob	auld	0.9	0.94	1.8399999999999999	0.6452265977859497
kounts	kob	hants	0.9	0.9	1.8	0.6933541297912598
kourtney	kousin	jitney	0.87	0.92	1.79	0.7379270792007446
krabs	kra	gabs	0.9	0.94	1.8399999999999999	0.7867275476455688
krissy	kru	massy	0.9	0.9	1.8	0.6540669202804565
kristie	krina	hostie	0.89	0.92	1.81	0.8229272365570068
kristina	kris	tina	0.93	1.0	1.9300000000000002	0.7208661437034607
kum	kua	lum	0.9	0.91	1.81	0.7037031650543213
kunta	kua	anta	0.9	0.94	1.8399999999999999	0.7574120759963989
kuntray	kunai	ashtray	0.89	0.9	1.79	0.6852477788925171
kursing	kurung	casing	0.87	0.92	1.79	0.6496418714523315
kutcher	kutch	acher	0.89	0.95	1.8399999999999999	0.6705412864685059
kya	kye	mya	0.9	0.91	1.81	0.7549048066139221
kyjuan	kyd	guan	0.9	0.94	1.8399999999999999	0.695968747138977
kylon	kyd	kalon	0.9	0.9	1.8	0.7090616226196289
kym	kyd	mym	0.9	0.91	1.81	0.8369681239128113
kys	kyl	bys	0.9	0.91	1.81	0.7653530240058899
labelle	labret	ficelle	0.87	0.9	1.77	0.7214875817298889
laborales	labels	scales	0.87	0.92	1.79	0.7128139734268188
labtop	lab	top	0.9	1.0	1.9	0.6517376899719238
lacefront	lacked	affront	0.87	0.9	1.77	0.661849319934845
lacefronts	laced	fronts	0.89	0.92	1.81	0.6891564130783081
lacewigs	lace	wigs	0.93	1.0	1.9300000000000002	0.7911511659622192
lackin	lag	kin	0.9	1.0	1.9	0.6905878782272339
ladeo	lax	rodeo	0.9	0.9	1.8	0.8138060569763184
ladroness	laddie	maness	0.87	0.92	1.79	0.697218120098114
ladun	lag	dun	0.9	1.0	1.9	0.7046140432357788
ladys	lav	dys	0.9	1.0	1.9	0.6544901132583618
laffin	las	fin	0.9	1.0	1.9	0.7016401886940002
laffy	laz	duffy	0.9	0.9	1.8	0.6678982973098755
lagian	lah	dian	0.9	0.94	1.8399999999999999	0.6343919038772583
lagrimas	lagend	limas	0.87	0.95	1.8199999999999998	0.6700897216796875
laguardia	laggin	cardia	0.87	0.92	1.79	0.6427351236343384
laides	las	redes	0.9	0.9	1.8	0.6940985321998596
lakehouse	laky	bouse	0.93	0.95	1.88	0.6575391292572021
lakewood	lake	wood	0.93	1.0	1.9300000000000002	0.7339770793914795
lal	lav	aal	0.9	0.91	1.81	0.6506236791610718
lamar	laz	omar	0.9	0.94	1.8399999999999999	0.6316499710083008
lambo	lah	ambo	0.9	0.94	1.8399999999999999	0.6616916060447693
lameek	lai	theek	0.9	0.9	1.8	0.6763441562652588
lamentar	lamin	kantar	0.89	0.92	1.81	0.7137075662612915
lamento	lambie	pimento	0.87	0.9	1.77	0.7757002115249634
lamosa	lah	dosa	0.9	0.94	1.8399999999999999	0.6947464942932129
lampin	lag	spin	0.9	0.94	1.8399999999999999	0.6383130550384521
landry	lap	dry	0.9	1.0	1.9	0.6659534573554993
langdon	landau	higdon	0.87	0.92	1.79	0.7863150835037231
lannan	lag	nan	0.9	1.0	1.9	0.6372194886207581
lanqston	langue	baston	0.87	0.92	1.79	0.7569794654846191
laper	lam	aper	0.9	0.94	1.8399999999999999	0.6518598794937134
laporte	lapin	porte	0.89	0.95	1.8399999999999999	0.6732853055000305
laready	larch	deady	0.89	0.95	1.8399999999999999	0.7005515694618225
larenta	lariat	magenta	0.87	0.9	1.77	0.7611137628555298
larga	las	carga	0.9	0.9	1.8	0.6553108096122742
larke	lad	burke	0.9	0.9	1.8	0.6640082597732544
larrieux	larges	milieux	0.87	0.9	1.77	0.6472602486610413
larrys	lac	marys	0.9	0.9	1.8	0.6857656240463257
lasnite	laser	granite	0.89	0.9	1.79	0.7376962900161743
lastminute	last	minute	0.93	0.92	1.85	0.9028599262237549
lastnight	lashed	bight	0.87	0.95	1.8199999999999998	0.6726876497268677
lastnite	laser	granite	0.89	0.9	1.79	0.7376962900161743
lastyear	last	year	0.93	1.0	1.9300000000000002	0.9490634202957153
latavia	latvia	pavia	0.87	0.95	1.8199999999999998	0.707685112953186
latearly	lats	barly	0.93	0.95	1.88	0.6453180313110352
lateboots	lath	oots	0.93	1.0	1.9300000000000002	0.7265241146087646
latelt	lag	belt	0.9	0.94	1.8399999999999999	0.6521451473236084
lathan	las	han	0.9	1.0	1.9	0.6422627568244934
latina	las	reina	0.9	0.9	1.8	0.6603748202323914
latinas	latham	encinas	0.87	0.9	1.77	0.6897748112678528
latrina	latch	farina	0.89	0.92	1.81	0.7151063680648804
latta	lad	atta	0.9	0.94	1.8399999999999999	0.7025790214538574
latte	lai	dette	0.9	0.9	1.8	0.6317406892776489
lau	lam	dau	0.9	0.91	1.81	0.6673184633255005
laughen	laud	toughen	0.93	0.9	1.83	0.6322856545448303
laurelton	laurel	dalton	0.87	0.92	1.79	0.6542975306510925
lauren	lah	ren	0.9	1.0	1.9	0.6341923475265503
lauriault	laurin	dault	0.87	0.95	1.8199999999999998	0.6911418437957764
lavell	lao	ell	0.9	1.0	1.9	0.6867270469665527
lavert	laz	bert	0.9	0.94	1.8399999999999999	0.6475786566734314
lavigne	laver	digne	0.89	0.95	1.8399999999999999	0.6350960731506348
laviva	las	iva	0.9	1.0	1.9	0.6624488234519958
lawdy	lad	rowdy	0.9	0.9	1.8	0.6359370946884155
layin	lam	yin	0.9	1.0	1.9	0.7421442270278931
layndown	lay	down	1.0	1.0	2.0	0.8418368697166443
layon	lai	yon	0.9	1.0	1.9	0.7489525675773621
lazymode	lazies	alamode	0.87	0.9	1.77	0.640342116355896
lazyness	lazar	maness	0.89	0.92	1.81	0.852118968963623
leakin	len	kin	0.9	1.0	1.9	0.6328729391098022
leanne	lep	renne	0.9	0.9	1.8	0.6378395557403564
leastr	let	str	0.9	1.0	1.9	0.6675331592559814
leavee	len	vee	0.9	1.0	1.9	0.6538470983505249
leavin	len	vin	0.9	1.0	1.9	0.6863139867782593
lebay	let	bay	0.9	1.0	1.9	0.6456404328346252
lebron	lea	ron	0.9	1.0	1.9	0.6689320206642151
lebrone	leban	carone	0.89	0.92	1.81	0.6528634428977966
lecciones	leches	cajones	0.87	0.9	1.77	0.6761252880096436
ledisi	lep	nisi	0.9	0.94	1.8399999999999999	0.8288792967796326
leemon	les	mon	0.9	1.0	1.9	0.7108510732650757
lef	let	def	0.9	0.91	1.81	0.8563262820243835
lefted	lea	ted	0.9	1.0	1.9	0.7423945069313049
legalmente	leggin	kente	0.87	0.95	1.8199999999999998	0.7365856170654297
leh	lev	feh	0.9	0.91	1.81	0.6403293609619141
lehman	leg	man	0.9	1.0	1.9	0.6857812404632568
leido	lex	dido	0.9	0.94	1.8399999999999999	0.6670526266098022
leigha	lep	agha	0.9	0.94	1.8399999999999999	0.7427151799201965
lembas	len	bas	0.9	1.0	1.9	0.7330548167228699
lemee	lep	aimee	0.9	0.9	1.8	0.6411817073822021
lemie	lea	jamie	0.9	0.9	1.8	0.7541555166244507
lem	led	gem	0.9	0.91	1.81	0.6319034695625305
lennon	lei	non	0.9	1.0	1.9	0.7794272303581238
lentes	lex	bates	0.9	0.9	1.8	0.6665251851081848
leocenis	leon	denis	0.93	0.95	1.88	0.7325903177261353
lerbon	les	bon	0.9	1.0	1.9	0.7487519383430481
leroy	lee	roy	0.9	1.0	1.9	0.8598306179046631
lerts	lev	marts	0.9	0.9	1.8	0.6708757877349854
leticia	leto	alicia	0.93	0.92	1.85	0.6857852339744568
letoya	lee	hoya	0.9	0.94	1.8399999999999999	0.7648965120315552
lettin	les	matin	0.9	0.9	1.8	0.6786385774612427
levando	leva	rolando	0.93	0.9	1.83	0.6897869110107422
levitra	levana	chitra	0.87	0.92	1.79	0.6749522686004639
lexus	led	nexus	0.9	0.9	1.8	0.7910569906234741
lhp	lhd	bhp	0.9	0.91	1.81	0.7715789675712585
lia	lib	cia	0.9	0.91	1.81	0.6399688124656677
libray	lie	ray	0.9	1.0	1.9	0.6425931453704834
libros	lim	ros	0.9	1.0	1.9	0.8239998817443848
licia	lib	cia	0.9	1.0	1.9	0.6399688124656677
lickin	liv	kin	0.9	1.0	1.9	0.690475583076477
liddle	lib	idle	0.9	0.94	1.8399999999999999	0.6478907465934753
liedd	lir	dedd	0.9	0.94	1.8399999999999999	0.6704837083816528
liein	lie	bein	0.9	0.94	1.8399999999999999	0.7430858612060547
liess	lim	bess	0.9	0.94	1.8399999999999999	0.6533377170562744
lifee	lib	fee	0.9	1.0	1.9	0.6543399691581726
liftin	lid	tin	0.9	1.0	1.9	0.7067360281944275
ligeros	ligan	ceros	0.89	0.95	1.8399999999999999	0.6484542489051819
lighskin	light	skin	0.89	1.0	1.8900000000000001	0.8651503324508667
lightskin	light	skin	0.89	1.0	1.8900000000000001	0.8651503324508667
liike	lim	ike	0.9	1.0	1.9	0.6786266565322876
lik	lir	oik	0.9	0.91	1.81	0.645161509513855
likee	lin	kee	0.9	1.0	1.9	0.7051619291305542
likey	lie	key	0.9	1.0	1.9	0.6800294518470764
likka	lir	akka	0.9	0.94	1.8399999999999999	0.7277973294258118
likley	lir	gley	0.9	0.94	1.8399999999999999	0.7140253186225891
lil	lir	ail	0.9	0.91	1.81	0.6609707474708557
lilryan	lilith	aryan	0.87	0.95	1.8199999999999998	0.7063133716583252
limewire	limo	wire	0.93	1.0	1.9300000000000002	0.7032622694969177
limitar	limen	kitar	0.89	0.95	1.8399999999999999	0.6733587980270386
limite	lie	bite	0.9	0.94	1.8399999999999999	0.683279812335968
limon	lis	mon	0.9	1.0	1.9	0.792512059211731
lincon	lip	bacon	0.9	0.9	1.8	0.6358916759490967
lindbergh	linch	bergh	0.89	0.95	1.8399999999999999	0.6350643634796143
lindes	lis	des	0.9	1.0	1.9	0.7346392869949341
linkin	liv	kin	0.9	1.0	1.9	0.690475583076477
linshey	liner	hershey	0.89	0.9	1.79	0.6345105171203613
linted	liz	ted	0.9	1.0	1.9	0.7994896173477173
lio	lim	gio	0.9	0.91	1.81	0.7205175161361694
lipgloss	lip	floss	1.0	0.95	1.95	0.6825783252716064
lippi	lir	pappi	0.9	0.9	1.8	0.638863742351532
liptons	lipids	tritons	0.87	0.9	1.77	0.6789707541465759
liqhtskin	liquid	skin	0.87	1.0	1.87	0.7832778692245483
liqour	lie	our	0.9	1.0	1.9	0.694665789604187
liscense	list	license	0.93	0.9	1.83	0.6960400342941284
listan	lie	satan	0.9	0.9	1.8	0.7357561588287354
listenin	liszt	lenin	0.89	0.95	1.8399999999999999	0.7249335050582886
listentin	lisle	quintin	0.89	0.9	1.79	0.6784400939941406
listos	lir	jatos	0.9	0.9	1.8	0.7914944887161255
liteskin	litter	skin	0.87	1.0	1.87	0.639561653137207
lithonia	litas	conia	0.89	0.95	1.8399999999999999	0.6359639167785645
litro	lir	vitro	0.9	0.9	1.8	0.6382125616073608
litte	lid	matte	0.9	0.9	1.8	0.6539123058319092
livee	liz	vee	0.9	1.0	1.9	0.7030064463615417
livin	lid	vin	0.9	1.0	1.9	0.6645816564559937
livingston	livery	piston	0.87	0.92	1.79	0.6702920198440552
livvin	lid	vin	0.9	1.0	1.9	0.6645816564559937
liyah	lin	yah	0.9	1.0	1.9	0.7513961791992188
lizzy	liz	jazzy	0.9	0.9	1.8	0.8419600129127502
llaman	llb	raman	0.9	0.9	1.8	0.6768451929092407
llamar	llb	simar	0.9	0.9	1.8	0.6352178454399109
llena	llb	chena	0.9	0.9	1.8	0.6654706001281738
llenos	llb	xenos	0.9	0.9	1.8	0.7521554231643677
llevan	llb	pavan	0.9	0.9	1.8	0.6731048226356506
llueve	llb	cleve	0.9	0.9	1.8	0.7352672219276428
loactions	loafs	ions	0.89	1.0	1.8900000000000001	0.7464292645454407
lockdown	lock	down	0.93	1.0	1.9300000000000002	0.8205951452255249
lockeroom	lock	room	0.93	1.0	1.9300000000000002	0.8150603771209717
lockin	lor	kin	0.9	1.0	1.9	0.6417609453201294
lodgin	loo	gin	0.9	1.0	1.9	0.7053269147872925
loehan	lou	chan	0.9	0.94	1.8399999999999999	0.7070310711860657
loews	lox	dews	0.9	0.94	1.8399999999999999	0.7262325286865234
logika	lou	erika	0.9	0.9	1.8	0.7697004675865173
logra	loe	gra	0.9	1.0	1.9	0.6496753692626953
loh	loe	doh	0.9	0.91	1.81	0.6311264038085938
lok	loe	sok	0.9	0.91	1.81	0.7265326976776123
lokal	loe	bakal	0.9	0.9	1.8	0.7163436412811279
lokos	lox	makos	0.9	0.9	1.8	0.6844325065612793
lol	lop	dol	0.9	0.91	1.81	0.6894879341125488
lolas	lod	galas	0.9	0.9	1.8	0.7640483379364014
lollame	loll	lame	0.93	1.0	1.9300000000000002	0.6908438205718994
lon	loo	don	0.9	0.91	1.81	0.6491844654083252
longlasting	lone	sting	0.93	1.0	1.9300000000000002	0.7296884059906006
longley	longan	gley	0.87	1.0	1.87	0.7271809577941895
lonley	lou	riley	0.9	0.9	1.8	0.7570025324821472
lonliness	lonk	maness	0.93	0.92	1.85	0.8021579384803772
lonya	loe	tanya	0.9	0.9	1.8	0.8210362195968628
looka	loo	oka	0.9	1.0	1.9	0.6477824449539185
looke	loo	oke	0.9	1.0	1.9	0.6886797547340393
lookhezwavey	loopy	wavey	0.89	1.0	1.8900000000000001	0.8112797737121582
lookie	loo	kie	0.9	1.0	1.9	0.6448229551315308
lookin	lor	kin	0.9	1.0	1.9	0.6417609453201294
loompas	looney	pampas	0.87	0.92	1.79	0.6542572975158691
loosin	lox	rosin	0.9	0.9	1.8	0.631916880607605
loove	log	above	0.9	0.9	1.8	0.6525180339813232
los	loo	bos	0.9	0.91	1.81	0.6657556891441345
loserrness	losh	maness	0.93	0.92	1.85	0.695824146270752
losin	lox	rosin	0.9	0.9	1.8	0.631916880607605
louboutin	louden	butin	0.87	0.95	1.8199999999999998	0.6479421257972717
louboutins	louies	latins	0.87	0.92	1.79	0.6340258121490479
loudd	lox	mudd	0.9	0.94	1.8399999999999999	0.6522249579429626
lov	lof	sov	0.9	0.91	1.81	0.6530115604400635
lovelovelove	lovat	belove	0.89	0.96	1.85	0.6443687677383423
loveth	lou	beth	0.9	0.94	1.8399999999999999	0.8633289933204651
lovie	lot	movie	0.9	0.9	1.8	0.7127615213394165
lovies	lot	lies	0.9	0.94	1.8399999999999999	0.8176912665367126
lovin	loo	vin	0.9	1.0	1.9	0.6934977769851685
lowkey	log	key	0.9	1.0	1.9	0.6771509647369385
lsu	lsc	esu	0.9	0.91	1.81	0.6969080567359924
luccy	lug	baccy	0.9	0.9	1.8	0.6335766315460205
lucha	luo	dacha	0.9	0.9	1.8	0.6749117374420166
luchita	luc	chita	1.0	0.95	1.95	0.6513375043869019
lucuan	lud	thuan	0.9	0.9	1.8	0.6611377000808716
lugar	lue	hagar	0.9	0.9	1.8	0.7626133561134338
luk	lut	auk	0.9	0.91	1.81	0.6473690271377563
lukie	lur	kie	0.9	1.0	1.9	0.7208803296089172
lukin	lue	alkin	0.9	0.9	1.8	0.6352407336235046
lul	lui	cul	0.9	0.91	1.81	0.8063766956329346
lumayan	lumbus	malayan	0.87	0.9	1.77	0.7358179688453674
lunachicks	lunged	slicks	0.87	0.92	1.79	0.692100465297699
lupain	lui	bain	0.9	0.94	1.8399999999999999	0.6435982584953308
lurkin	lue	alkin	0.9	0.9	1.8	0.6352407336235046
luthor	lub	hor	0.9	1.0	1.9	0.6496880054473877
luu	lud	suu	0.9	0.91	1.81	0.6528904438018799
luv	luo	guv	0.9	0.91	1.81	0.7141265273094177
luvest	lui	est	0.9	1.0	1.9	0.8475728034973145
luvin	luc	cavin	0.9	0.9	1.8	0.6314632892608643
luxekultur	luxus	kultur	0.89	0.92	1.81	0.6885778903961182
luz	lud	guz	0.9	0.91	1.81	0.6487549543380737
lykes	lyc	pikes	0.9	0.9	1.8	0.6363221406936646
lynchin	lynx	kachin	0.93	0.92	1.85	0.6324449777603149
lyndhurst	lynne	durst	0.89	0.95	1.8399999999999999	0.6918063163757324
lyndsey	lynch	lindsey	0.89	0.9	1.79	0.8044359683990479
maaine	mab	gaine	0.9	0.9	1.8	0.7164461612701416
maama	mas	ama	0.9	1.0	1.9	0.6361784934997559
maanda	mas	anda	0.9	0.94	1.8399999999999999	0.6628490686416626
maaodd	mad	odd	0.9	1.0	1.9	0.7639050483703613
mabad	mac	bad	0.9	1.0	1.9	0.6308658123016357
mabilo	mam	bilo	0.9	0.94	1.8399999999999999	0.6696594953536987
macam	mac	cam	0.9	1.0	1.9	0.652145266532898
macked	mab	aked	0.9	0.94	1.8399999999999999	0.779671311378479
macken	mac	ken	0.9	1.0	1.9	0.6699327230453491
mackin	mam	kin	0.9	1.0	1.9	0.725283145904541
macon	mas	con	0.9	1.0	1.9	0.6623243093490601
madda	maw	adda	0.9	0.94	1.8399999999999999	0.7543551921844482
maddi	mab	gaddi	0.9	0.9	1.8	0.6691279411315918
maddie	man	die	0.9	1.0	1.9	0.8033586740493774
maddy	mab	baddy	0.9	0.9	1.8	0.6874169111251831
maddyn	mab	dyn	0.9	1.0	1.9	0.6868584156036377
madea	mah	dea	0.9	1.0	1.9	0.6511812210083008
madera	mae	era	0.9	1.0	1.9	0.7176049947738647
madina	map	china	0.9	0.9	1.8	0.6519902348518372
madrazos	madres	abrazos	0.87	0.9	1.77	0.7189644575119019
madura	mae	laura	0.9	0.9	1.8	0.7079874277114868
maf	mab	haf	0.9	0.91	1.81	0.7092836499214172
magoo	mad	goo	0.9	1.0	1.9	0.7543243169784546
mailcart	maid	cart	0.93	1.0	1.9300000000000002	0.743179976940155
maimi	mae	mimi	0.9	0.94	1.8399999999999999	0.7275735139846802
maino	maw	ino	0.9	1.0	1.9	0.7429869174957275
maj	mam	taj	0.9	0.91	1.81	0.7265036106109619
mak	mah	dak	0.9	0.91	1.81	0.693838894367218
makan	mah	kan	0.9	1.0	1.9	0.8353607654571533
makanya	makluk	banya	0.87	0.95	1.8199999999999998	0.6524995565414429
makee	mat	kee	0.9	1.0	1.9	0.6541737914085388
maken	mac	ken	0.9	1.0	1.9	0.6699327230453491
makess	mab	bess	0.9	0.94	1.8399999999999999	0.6810252070426941
makin	mam	kin	0.9	1.0	1.9	0.725283145904541
makkin	mam	kin	0.9	1.0	1.9	0.725283145904541
maklum	mao	lum	0.9	1.0	1.9	0.7330124378204346
malah	mah	lah	0.9	1.0	1.9	0.7664905786514282
malas	mah	melas	0.9	0.9	1.8	0.6641921997070312
malaysia	maleo	elysia	0.89	0.92	1.81	0.6420186758041382
malbro	mad	bro	0.9	1.0	1.9	0.7796781063079834
malcom	mae	com	0.9	1.0	1.9	0.7914906740188599
malem	mae	alem	0.9	0.94	1.8399999999999999	0.7693467140197754
malle	mat	ville	0.9	0.9	1.8	0.6320012211799622
malone	mac	one	0.9	1.0	1.9	0.7055313587188721
malos	mag	halos	0.9	0.9	1.8	0.6344196200370789
malotron	malva	tron	0.89	1.0	1.8900000000000001	0.6707321405410767
malvado	malady	bravado	0.87	0.9	1.77	0.7674803733825684
mamis	mal	mis	0.9	1.0	1.9	0.6407381296157837
manado	maw	ado	0.9	1.0	1.9	0.6647282838821411
manda	mas	anda	0.9	0.94	1.8399999999999999	0.6628490686416626
mandame	manana	dame	0.87	1.0	1.87	0.6938907504081726
mandaron	manuel	aaron	0.87	0.95	1.8199999999999998	0.700344979763031
mandell	manal	bedell	0.89	0.92	1.81	0.6971150040626526
manden	man	den	0.9	1.0	1.9	0.6762002110481262
mandisa	mant	disa	0.93	1.0	1.9300000000000002	0.6394814252853394
mando	mal	lindo	0.9	0.9	1.8	0.7026233673095703
maneira	manuel	pereira	0.87	0.9	1.77	0.8321829438209534
manejador	manal	ador	0.89	1.0	1.8900000000000001	0.6814985871315002
manera	mae	era	0.9	1.0	1.9	0.7176049947738647
mangkali	mana	kali	0.93	1.0	1.9300000000000002	0.8418608903884888
mangovill	manche	vill	0.87	1.0	1.87	0.6306279301643372
mangoville	manque	caille	0.87	0.92	1.79	0.6535780429840088
manita	mah	ita	0.9	1.0	1.9	0.6948274374008179
manne	mac	anne	0.9	0.94	1.8399999999999999	0.6387187242507935
manny	mac	danny	0.9	0.9	1.8	0.6405713558197021
manoso	mab	koso	0.9	0.94	1.8399999999999999	0.6894552707672119
mansa	mab	hansa	0.9	0.9	1.8	0.6956657767295837
manteca	manal	teca	0.89	1.0	1.8900000000000001	0.6596972942352295
mantenerme	manal	erme	0.89	1.0	1.8900000000000001	0.7276914119720459
mantenga	manta	renga	0.89	0.95	1.8399999999999999	0.6356010437011719
manuela	manana	escuela	0.87	0.9	1.77	0.7416035532951355
manwhore	mandi	hore	0.89	1.0	1.8900000000000001	0.6718726754188538
mapquest	map	guest	1.0	0.95	1.95	0.6389206051826477
mar	mac	bar	0.9	0.91	1.81	0.7647534608840942
marcelles	maral	dalles	0.89	0.92	1.81	0.6544622182846069
marcus	mad	focus	0.9	0.9	1.8	0.6385257244110107
mareando	marcos	rolando	0.87	0.9	1.77	0.644223690032959
marendi	marko	effendi	0.89	0.9	1.79	0.711077094078064
margaritas	maral	litas	0.89	0.95	1.8399999999999999	0.7581849098205566
marietta	marci	etta	0.89	1.0	1.8900000000000001	0.6304778456687927
marijana	maral	yojana	0.89	0.92	1.81	0.7196314334869385
marios	map	ios	0.9	1.0	1.9	0.7055733799934387
marisco	market	cisco	0.87	0.95	1.8199999999999998	0.632622241973877
marissa	marty	elissa	0.89	0.92	1.81	0.6390194892883301
mariyah	marci	aliyah	0.89	0.92	1.81	0.7290591597557068
markee	mat	kee	0.9	1.0	1.9	0.6541737914085388
marley	mad	riley	0.9	0.9	1.8	0.6488112211227417
marlon	mab	kalon	0.9	0.9	1.8	0.687714695930481
marriott	marc	elliott	0.93	0.9	1.83	0.7324990034103394
marta	mas	corta	0.9	0.9	1.8	0.6842087507247925
martell	mark	tell	0.93	1.0	1.9300000000000002	0.7202225923538208
maryjane	maria	jane	0.89	1.0	1.8900000000000001	0.6831963062286377
maryjuana	markaz	aduana	0.87	0.92	1.79	0.6580187678337097
masculino	mason	lino	0.89	1.0	1.8900000000000001	0.7237367630004883
masscare	mass	care	0.93	1.0	1.9300000000000002	0.6957306265830994
masta	mas	basta	0.9	0.9	1.8	0.7338682413101196
matao	mas	tao	0.9	1.0	1.9	0.6369921565055847
mataron	mate	aaron	0.93	0.95	1.88	0.6327916383743286
matchin	mate	chin	0.93	1.0	1.9300000000000002	0.6494908332824707
matchup	matts	catchup	0.89	0.9	1.79	0.6322439908981323
mateerials	mated	finials	0.89	0.9	1.79	0.6697396039962769
mathis	mac	his	0.9	1.0	1.9	0.6824878454208374
mathletes	mater	fetes	0.89	0.95	1.8399999999999999	0.6680752635002136
matress	mather	cress	0.87	0.95	1.8199999999999998	0.7434384822845459
mattaa	mae	taa	0.9	1.0	1.9	0.686700165271759
mattas	mag	tas	0.9	1.0	1.9	0.7225102186203003
matthews	mateys	cashews	0.87	0.9	1.77	0.6519010066986084
maunya	mah	tanya	0.9	0.9	1.8	0.7013843059539795
maurette	mauler	facette	0.87	0.9	1.77	0.6734803318977356
mavado	maw	ado	0.9	1.0	1.9	0.6647282838821411
mawin	mac	win	0.9	1.0	1.9	0.645187258720398
mayers	max	ers	0.9	1.0	1.9	0.6941244006156921
